ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,city,price_per_sqft,rooms_per_bathroom,age_of_property
100322212,Majestic Maxim,2021.0,1400.0,Kuala Lumpur - Cheras,Service Residence,2,2.0,2.0,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Cheras,2.150537634408602,0.6666666666666666,4.0
100273500,Desa Villas,2017.0,2500.0,Kuala Lumpur - Wangsa Maju,Condominium,4,2.0,2.0,1784,Not Furnished,"Parking, Security, Lift, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,Wangsa Maju,1.4005602240896358,1.3333333333333333,8.0
100231953,East Side One Ampang Avenue,2017.0,1800.0,Kuala Lumpur - Ampang,Condominium,3,1.0,2.0,1100,Fully Furnished,"Gymnasium, Minimart, Tennis Court, Squash Court, Sauna, Security, Swimming Pool, Parking",None,Kuala Lumpur,Ampang,1.6348773841961852,1.0,8.0
100322123,Majestic Maxim,2021.0,1099.0,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,650,Not Furnished,"Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Cheras,1.6881720430107527,0.6666666666666666,4.0
100310024,Majestic Maxim,2021.0,1099.0,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,650,Partially Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,1.6881720430107527,0.6666666666666666,4.0
100310022,Majestic Maxim,2021.0,1199.0,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,819,Not Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,1.4621951219512195,1.0,4.0
100290514,Majestic Maxim,2021.0,1100.0,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,650,Not Furnished,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur,Cheras,1.6897081413210446,0.6666666666666666,4.0
100267049,Sri Penara,2017.0,1000.0,Kuala Lumpur - Cheras,Apartment,3,1.0,2.0,650,Not Furnished,"Parking, Minimart, Playground",None,Kuala Lumpur,Cheras,1.5360983102918586,1.0,8.0
100201993,Prisma Cheras,2017.0,1100.0,Kuala Lumpur - Cheras,Condominium,1,1.0,1.0,900,Partially Furnished,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",None,Kuala Lumpur,Cheras,1.2208657047724751,0.5,8.0
100295196,Menara Alpha,2017.0,1400.0,Kuala Lumpur - Wangsa Maju,Condominium,3,1.0,2.0,1140,Not Furnished,"Parking, Minimart, Security, Gymnasium, Swimming Pool, Playground",None,Kuala Lumpur,Wangsa Maju,1.2269938650306749,1.0,8.0
100322088,Berlian Residence @ Setapak,2017.0,1500.0,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,900,Not Furnished,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",None,Kuala Lumpur,Setapak,1.664816870144284,1.0,8.0
